title,price,location,year,mileage,link
Toyota Etios 1.5 X 6mt My19,17890900,Capital Federal - Capital Federal,2023,40000,https://auto.mercadolibre.com.ar/MLA-1986302662-toyota-etios-15-x-6mt-my19-_JM#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=85ea1e7a-b9db-49a8-9f43-69ec5d6b42c0
Toyota Etios 1.5 X 6mt My19,18989900,Capital Federal - Capital Federal,2023,30000,https://auto.mercadolibre.com.ar/MLA-1468675183-toyota-etios-15-x-6mt-my19-2023-no-sedan-xls-platinum-yaris-_JM#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=85ea1e7a-b9db-49a8-9f43-69ec5d6b42c0
Toyota Etios 1.5 Sedan X,18989000,Capital Federal - Capital Federal,2023,31000,https://auto.mercadolibre.com.ar/MLA-1468624511-toyota-etios-15-sedan-x-2023-no-hatchback-xls-yaris-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=85ea1e7a-b9db-49a8-9f43-69ec5d6b42c0
Toyota Etios 1.5 Sedan Xls At,22500000,Capital Federal - Capital Federal,2022,14500,https://auto.mercadolibre.com.ar/MLA-1468527449-toyota-etios-xls-15-at-hermoso-aes-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=85ea1e7a-b9db-49a8-9f43-69ec5d6b42c0
Toyota Etios 1.5 Xls At,20489900,Almirante Brown - Bs.As. G.B.A. Sur,2021,35000,https://auto.mercadolibre.com.ar/MLA-1984601372-toyota-etios-xls-at-automatico-5-yaris-kardian-polo-fit-ka-x-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=85ea1e7a-b9db-49a8-9f43-69ec5d6b42c0
Toyota Etios 1.5 X 6mt My19,18989905,San Isidro - Bs.As. G.B.A. Norte,2023,39000,https://auto.mercadolibre.com.ar/MLA-1468417377-toyota-etios-15-x-6mt-my19-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=85ea1e7a-b9db-49a8-9f43-69ec5d6b42c0
Toyota Etios 1.5 Xls At,17000,San Isidro - Bs.As. G.B.A. Norte,2018,79000,https://auto.mercadolibre.com.ar/MLA-1983982832-toyota-etios-15-xls-at-ano-2018-liv-motors-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=85ea1e7a-b9db-49a8-9f43-69ec5d6b42c0
Toyota Etios 1.5 Xls At,20499999,Almirante Brown - Bs.As. G.B.A. Sur,2021,35000,https://auto.mercadolibre.com.ar/MLA-1983241388-toyota-etios-xls-15-at-polo-c3-gol-208-cronos-yaris-jeep-a-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=85ea1e7a-b9db-49a8-9f43-69ec5d6b42c0
Toyota Etios 1.5 X 6mt,22000000,Capital Federal - Capital Federal,2024,0,https://auto.mercadolibre.com.ar/MLA-1467401037-toyota-etios-0km-x-caja-manual-2024-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=85ea1e7a-b9db-49a8-9f43-69ec5d6b42c0
Toyota Etios 1.5 Sedan Xls,16490,Ituzaingó - Bs.As. G.B.A. Oeste,2018,82300,https://auto.mercadolibre.com.ar/MLA-1980315388-toyota-etios-15-sedan-xls-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=85ea1e7a-b9db-49a8-9f43-69ec5d6b42c0
